fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,photometry_ok,gaia_ok,phot_g_mean_mag,i0,g0,r0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeH_avg_SP,FeH_stddex_SP,aFe_adopted,e_aFe_adopted,aFe_source,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_agreement,chem_window_adopted,high_alpha_window,table_use_flag
66,273.592,-32.076,4045874659131668608,148290265,437324,True,True,16.899,15.7800,16.8110,16.0490,-4.327,0.119,-7.204,0.090,-0.155,0.094,64.719,4.120,22.900,good,False,1.517,2.728,2.434,5.162,5197.0,170.7,3.307,0.449,-0.576,0.126,SP_Ace+CaT_DP_consensus,-0.623,0.066,-0.465,0.23,0.213,0.675,SP_Ace,modeled,True,6.0,0.469,check,True,True,secondary
67,273.598,-32.117,4045873417767335680,148307113,440477,True,True,17.288,16.2820,17.0690,16.4710,-4.387,0.121,-7.427,0.091,0.034,0.101,-61.827,3.220,15.100,usable,True,1.406,2.390,1.514,3.904,6018.0,100.0,3.68,1.092,-1.026,0.094,SP_Ace+CaT_DP_consensus,-0.988,0.037,-1.05,0.0,-0.023,0.1,SP_Ace,modeled,True,5.0,1.254,check,False,False,secondary
68,273.665,-32.241,4045774981544395264,148481036,472646,True,True,16.180,15.4250,16.4460,15.7180,-4.252,0.057,-7.090,0.043,0.137,0.054,28.866,3.741,25.600,good,False,0.929,2.721,2.259,4.981,5644.0,281.4,2.6,1.23,-0.45,0.187,SP_Ace_primary_CaT_DP_disagrees,-0.939,0.085,-0.45,0.187,0.0,0.368,SP_Ace,failed,False,,,no_SED,False,False,primary
69,273.574,-32.150,4045779375162862080,148241343,427932,True,True,13.878,12.5590,15.1650,13.8130,-3.835,0.027,-7.228,0.019,0.062,0.023,-37.964,4.582,55.100,good,True,1.587,2.999,2.702,5.701,3839.5,100.0,1.757,0.422,-0.684,0.123,SP_Ace_primary_CaT_DP_disagrees,-1.127,0.084,-0.684,0.123,0.172,0.206,SP_Ace,modeled,True,6.0,0.979,check,True,False,secondary
70,273.562,-32.077,4045874452973272320,148210133,421881,True,True,16.063,14.9360,16.0000,15.2450,-3.427,0.062,-7.986,0.045,0.099,0.053,58.566,3.692,47.000,good,False,1.429,3.215,2.520,5.735,5181.0,156.1,4.216,0.452,-0.559,0.119,SP_Ace+CaT_DP_consensus,-0.618,0.043,-0.459,0.195,0.173,0.5,SP_Ace,failed,False,,,no_SED,True,False,primary
71,273.534,-32.046,4048877013058797440,148137897,408309,True,True,16.694,15.5120,16.4710,15.7840,-4.600,0.106,-7.121,0.076,-0.054,0.086,-10.754,3.727,19.900,usable,False,0.766,1.974,1.818,3.793,6290.0,456.4,3.78,0.2,-0.25,0.156,SP_Ace_primary_CaT_DP_disagrees,-1.303,0.126,-0.25,0.156,0.0,0.348,SP_Ace,modeled,False,5.0,7.664,check,False,False,secondary
72,273.630,-32.253,4045774908399432576,148389915,455776,True,True,15.281,14.2810,15.6280,14.7120,-3.942,0.039,-6.528,0.030,0.054,0.032,60.292,3.352,40.200,good,False,1.145,2.888,2.398,5.286,4296.5,100.0,2.306,0.308,-1.012,0.094,SP_Ace+CaT_DP_consensus,-1.015,0.029,-1.01,0.078,0.213,0.229,SP_Ace,modeled,True,6.0,0.838,check,True,True,secondary
74,273.576,-32.187,4045779070352919040,148246507,428926,True,True,16.165,15.1010,16.1850,15.4210,-3.549,0.055,-8.629,0.040,0.058,0.049,133.465,3.421,30.200,good,False,1.320,2.852,2.270,5.122,5002.5,100.9,2.793,0.369,-0.665,0.095,SP_Ace+CaT_DP_consensus,-0.836,0.015,-0.55,0.123,0.249,0.271,SP_Ace,modeled,True,6.0,0.026,check,True,True,secondary
75,273.472,-32.047,4048783309651260032,147973061,377178,True,True,16.194,14.9780,16.0340,15.2970,-4.051,0.057,-7.752,0.042,0.060,0.050,-146.376,3.377,33.700,good,False,1.265,2.931,2.279,5.209,4860.0,124.6,2.167,0.528,-0.924,0.101,SP_Ace+CaT_DP_consensus,-0.811,0.001,-1.017,0.136,0.441,0.279,SP_Ace,modeled,True,6.0,0.228,check,True,True,secondary
76,273.423,-31.995,4048881200572580992,147840142,351658,True,True,15.778,14.5180,15.7250,14.8110,-4.990,0.073,-7.454,0.054,-0.104,0.062,-13.156,3.254,30.100,good,False,1.595,3.238,2.592,5.830,4578.5,109.3,2.857,0.32,-0.264,0.127,SP_Ace_primary_CaT_DP_disagrees,-0.628,0.086,-0.264,0.127,0.11,0.23,SP_Ace,modeled,True,6.0,0.71,check,False,False,secondary
