time_from_present_myr,ra_deg,dec_deg,distance_kpc,galactocentric_radius_kpc,pm_ra_cosdec_masyr,pm_dec_masyr,radial_velocity_kms
-234.6827330658499,247.9401317284956,-31.309217728217643,9.208256053183929,2.6582232597256215,-3.6040199291872392,-3.910228637047724,-105.51881944985062
-234.39096132855104,247.93212187500123,-31.271994215638127,9.166358960208058,2.6369157514116384,-3.515976693122335,-3.943445201034467,-107.70585713284885
-234.0991895912524,247.93410128565117,-31.235832199881727,9.12384521981472,2.6146383164358142,-3.425536430068226,-3.977762497723551,-109.87954367930935
-233.80741785395378,247.9463082354247,-31.20075870997577,9.080725310119545,2.5913880188584506,-3.3325461657688638,-4.013183910707189,-112.03783144538822
-233.51564611665503,247.96899042878348,-31.16679699964722,9.037010363902317,2.5671626806288477,-3.2368469355260285,-4.0497106129827865,-114.17850717441013
-233.2238743793563,248.00241812115723,-31.133970878593896,8.99271139178876,2.5419591013076888,-3.1382675759660894,-4.087344591026785,-116.29919757552179
-232.93210264205766,248.04686733541746,-31.102302012836894,8.94784189834162,2.515776364623878,-3.0366327056235387,-4.1260833240829795,-118.39721868514049
-232.6403309047589,248.10263993039408,-31.071807315719564,8.902414213365043,2.4886118304721383,-2.9317533935977416,-4.165923119723543,-120.46975711609794
-232.34855916746017,248.17003979995388,-31.042505351414242,8.856444193542515,2.4604662860017346,-2.823435125168462,-4.206856913975764,-122.51360701643868
-232.05678743016153,248.24941807576252,-31.01441114085552,8.809946026363793,2.43133633070274,-2.7114655084203916,-4.248876843507937,-124.52536681631668
-231.7650156928628,248.34111578092555,-30.98754390486504,8.762938260949598,2.401224029213218,-2.595628558883588,-4.291968818246568,-126.50118617797769
-231.47324395556416,248.44550691064654,-30.961900417958773,8.715438667658255,2.3701295541585248,-2.4756922357014415,-4.336115248884766,-128.43701363232802
-231.1814722182654,248.56297580890106,-30.937493908442686,8.667467647970344,2.338055768143984,-2.351416034935948,-4.381292870689619,-130.32826102445435
-230.88970048096667,248.6939327228805,-30.914326988941944,8.61904741093109,2.3050059938765086,-2.222545540748421,-4.4274733438842295,-132.16992164986974
-230.59792874366804,248.8388266659226,-30.89239945187232,8.570201093900128,2.270982436233633,-2.0888076702678307,-4.474624196426794,-133.95653143054906
-230.3061570063694,248.99810643143744,-30.871698264834517,8.520953504158337,2.235991402979928,-1.949920583961378,-4.522700878187972,-135.6821059918105
-230.01438526907054,249.1722526650509,-30.852216266953903,8.471333319968076,2.2000405168767445,-1.805590082296327,-4.571652016572133,-137.33992349335205
-229.7226135317719,249.36177893648855,-30.83393269789384,8.421370147829105,2.1631378278397624,-1.6555019739041912,-4.62141725310325,-138.922688407786
-229.43084179447328,249.5672258034961,-30.81682532605316,8.371096617262316,2.1252936594479928,-1.4993282825817043,-4.671924018572214,-140.42234583765827
-229.13907005717454,249.78915575719168,-30.800859061632107,8.320548193945575,2.0865214926384192,-1.336727821042884,-4.7230856331781625,-141.82995790162772
-228.8472983198758,250.02815797708425,-30.785993357967214,8.269763484468722,2.046838003474279,-1.1673448826495936,-4.77480159414548,-143.13564763165053
-228.55552658257704,250.28483804875972,-30.77217291325764,8.218786468591892,2.00626518635164,-0.9908163551365268,-4.826950291109994,-144.32848013763723
-228.2637548452784,250.55986308871653,-30.75933201348276,8.167660967713298,1.9648245178897252,-0.8067525210141492,-4.879395018747381,-145.39634469819057
-227.97198310797978,250.85390705885214,-30.74739561606974,8.116437842058318,1.9225457250984752,-0.6147625891742411,-4.931972140100623,-146.32573445248005
-227.68021137068092,251.16767969727195,-30.73626537159427,8.065172774847895,1.8794634457217616,-0.4144452124971847,-4.984495576717688,-147.10171656879217
-227.3884396333823,251.50192282487538,-30.725837232795158,8.013925279023004,1.8356187617262258,-0.20539428854288627,-5.0367447973557065,-147.7076020301991
-227.09666789608366,251.85741478926036,-30.71597861478884,7.962762233173378,1.7910599248047834,0.012798492476827211,-5.08846764042321,-148.12484299981543
-226.8048961587848,252.23491529974459,-30.706535412304056,7.911753492486981,1.7458501190002587,0.24051958613512506,-5.139370507741967,-148.33271197667506
-226.51312442148617,252.63530812249698,-30.697345042494675,7.860980678031851,1.7000524277062172,0.4781696892677041,-5.189115964179706,-148.30797592339067
-226.22135268418754,253.05938818908632,-30.68818739132789,7.810530259162372,1.653756121453404,0.7260867442864019,-5.237312291514357,-148.0250667462485
-225.9295809468888,253.50803678488373,-30.67883299536915,7.760498306219867,1.6070585576262961,0.98458628675639,-5.283509470469049,-147.45529746485366
-225.63780920959005,253.98211852267943,-30.66900449188969,7.710989857944155,1.5600792796646943,1.2539104571711217,-5.327194474539388,-146.5667419598269
-225.3460374722914,254.48251642689087,-30.6583943572049,7.662121732686386,1.512958555321454,1.5342135271860646,-5.367774548542926,-145.32407294295095
-225.05426573499267,255.01008810388888,-30.64664249003624,7.6140214685925915,1.4658653548102683,1.8255184044729098,-5.404572773694968,-143.68814926122295
-224.76249399769404,255.5656775263976,-30.633332455675465,7.56682904581211,1.4189992575830768,2.127680440842247,-5.436816205963886,-141.6157920467137
-224.4707222603953,256.150086103135,-30.617998049288822,7.520701147113614,1.372596344623664,2.4403253754704797,-5.463627616621145,-139.05972110113157
-224.17895052309655,256.76400862242514,-30.600101526291958,7.475807072151502,1.3269406397855104,2.762760254648348,-5.484013898315218,-135.96834895726764
-223.88717878579791,257.40805553070453,-30.579027380432564,7.43233327919649,1.282363846178915,3.0938916663432723,-5.496866623043913,-132.28605308275309
-223.59540704849928,258.0826868836303,-30.55410244354043,7.390485398496217,1.239254270095871,3.432092416396708,-5.5009492839255785,-127.95374000602173
-223.30363531120042,258.7881194173271,-30.52453900180134,7.35048650850842,1.1980659323750504,3.7750377235637504,-5.494921381731897,-122.91066454338068
-223.0118635739018,259.5243119358129,-30.48947906470937,7.312578864019905,1.1593168733873922,4.119538346657513,-5.477356265545318,-117.09676339892596
-222.72009183660316,260.29081279808486,-30.44795989592841,7.277021487388691,1.1235944220126073,4.4613278020759335,-5.446806965548617,-110.45779683609761
-222.4283200993043,261.08669584468026,-30.398936993721147,7.24408816254314,1.0915442057976656,4.794890468716102,-5.401896504823361,-102.95179541132958
-222.13654836200567,261.91041273306513,-30.341294255264657,7.214062620746779,1.0638549132591633,5.113343315537539,-5.341465770688809,-94.55950754044632
-221.84477662470704,262.75967933965467,-30.273870074736205,7.18722843245039,1.0412290781694846,5.40848649470381,-5.2647652637984645,-85.2960227650067
-221.5530048874083,263.63137290120204,-30.195508423479676,7.163858578281233,1.0243380358229244,5.671145300414222,-5.171681694925468,-75.22388514136036
-221.26123315010955,264.5214821404911,-30.105124753767495,7.144195034011078,1.0137703167494723,5.891860736829767,-5.062944425351869,-64.4631852228131
-220.96946141281092,265.4251520591939,-30.001758954904563,7.128436113794593,1.0099653151739807,6.061942546374489,-4.940236982449454,-53.1936192535173
-220.67768967551217,266.33680940729784,-29.884671813738976,7.1167149774076774,1.0131635742653402,6.174712675867506,-4.806217047136809,-41.64420054079523
-220.38591793821354,267.2504597108652,-29.753423399659848,7.109089105593836,1.0233696877534157,6.2273037728948895,-4.664803483286486,-30.072160809628148
-220.0941462009148,268.1601064154117,-29.607960375154054,7.105535001780028,1.0403513637718498,6.220644926041267,-4.5205525027913716,-18.735691807550484
-219.80237446361605,269.0600457644798,-29.44860387774005,7.105953426555329,1.0636681953338338,6.158570639319582,-4.377841510193626,-7.867031737775476
-219.51060272631742,269.9451059870104,-29.276019358952773,7.1101767015684105,1.0927258686884993,6.047053495726632,-4.2405138016186985,2.346932073202855
-219.21883098901878,270.8108544584206,-29.091160406349687,7.117989370489088,1.1268323850976878,5.893276237169703,-4.111624471363952,11.773306766309178
-218.92705925171992,271.65362480874245,-28.89518215137905,7.129139663987153,1.165257776250185,5.7048839748575775,-3.9933889284214894,20.331617117862578
-218.6352875144213,272.47051893083744,-28.689374317313245,7.1433555165322025,1.2072784301228903,5.489387430110209,-3.8871728146625664,27.988285012162834
-218.34351577712266,273.2594173277815,-28.47508355610295,7.160360424536709,1.2522110676853264,5.2537525728483025,-3.7935970890390625,34.748127081844046
-218.0517440398238,274.01885289992543,-28.253666242637376,7.179880062111995,1.2994327740093794,5.004191872660608,-3.7126563533359516,40.64411135006443
-217.75997230252517,274.7479561723961,-28.026426117754436,7.201653974904372,1.3483903142182754,4.74601085956467,-3.64386925804089,45.72958717839087
-217.46820056522654,275.4463399087454,-27.7945973148485,7.225435488789639,1.3986044213603823,4.48360986085676,-3.586441001929577,50.06948874467937
