fiberid,RVraw,RV,e_RV,S/N,CaT1,CaT2,CaT3,SumEW23,BDBS_match,n6569_oid,radeg,decdeg,umag,uerr,gmag,gerr,rmag,rerr,imag,ierr,zmag,zerr,ymag,yerr,Au,Ag,Ar,Ai,Az,Ay,bdbs_id,gaia_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag
69,-24.610,-37.964,4.582,55.100,1.587,2.999,2.702,5.701,matched,427932,273.574,-32.150,20.314,0.004,16.510,0.005,14.800,0.006,13.289,0.002,12.607,0.002,12.228,0.008,1.685,1.345,0.987,0.730,0.562,0.448,148241343,4045779375162862080,4045779375162862080,273.57372,0.022,-32.15006,0.018,0.062,0.023,-3.835,0.027,-7.228,0.019,13.878
70,71.919,58.566,3.692,47.000,1.429,3.215,2.520,5.735,matched,421881,273.562,-32.077,19.580,0.013,17.277,0.000,16.182,0.003,15.630,0.001,15.298,0.013,15.084,0.001,1.600,1.277,0.937,0.694,0.534,0.425,148210133,4045874452973272320,4045874452973272320,273.56196,0.049,-32.07709,0.043,0.099,0.053,-3.427,0.062,-7.986,0.045,16.063
71,2.599,-10.754,3.727,19.900,0.766,1.974,1.818,3.793,matched,408309,273.534,-32.046,20.045,0.010,17.823,0.000,16.776,0.002,16.246,0.027,15.902,0.012,15.740,0.002,1.694,1.352,0.992,0.734,0.565,0.450,148137897,4048877013058797440,4048877013058797440,273.53445,0.090,-32.04625,0.079,-0.054,0.086,-4.600,0.106,-7.121,0.076,16.694
72,73.646,60.292,3.352,40.200,1.145,2.888,2.398,5.286,matched,455776,273.630,-32.253,19.681,0.000,16.609,0.001,15.431,0.000,14.814,0.001,14.486,0.001,14.222,0.002,1.228,0.981,0.719,0.533,0.410,0.326,148389915,4045774908399432576,4045774908399432576,273.63014,0.032,-32.25330,0.028,0.054,0.032,-3.942,0.039,-6.528,0.030,15.281
73,104.455,91.101,5.000,20.000,0.490,1.756,1.448,3.204,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,146.819,133.465,3.421,30.200,1.320,2.852,2.270,5.122,matched,428926,273.576,-32.187,20.135,0.000,17.352,0.001,16.277,0.003,15.735,0.005,15.432,0.004,15.253,0.002,1.462,1.167,0.856,0.634,0.488,0.388,148246507,4045779070352919040,4045779070352919040,273.57564,0.043,-32.18695,0.038,0.058,0.049,-3.549,0.055,-8.629,0.040,16.165
75,-133.022,-146.376,3.377,33.700,1.265,2.931,2.279,5.209,matched,377178,273.472,-32.047,20.007,0.004,17.454,0.000,16.339,0.002,15.749,0.009,15.432,0.002,15.178,0.011,1.779,1.420,1.042,0.771,0.593,0.473,147973061,4048783309651260032,4048783309651260032,273.47217,0.046,-32.04736,0.041,0.060,0.050,-4.051,0.057,-7.752,0.042,16.194
76,0.198,-13.156,3.254,30.100,1.595,3.238,2.592,5.830,matched,351658,273.423,-31.995,20.396,0.024,17.164,0.010,15.867,0.015,15.299,0.004,14.969,0.005,14.695,0.005,1.802,1.439,1.056,0.781,0.601,0.479,147840142,4048881200572580992,4048881200572580992,273.42282,0.057,-31.99519,0.050,-0.104,0.062,-4.990,0.073,-7.454,0.054,15.778
77,9.204,-4.150,4.368,24.600,1.223,2.657,2.441,5.098,matched,414014,273.546,-32.142,20.065,0.028,17.546,0.001,16.480,0.007,15.980,0.002,15.633,0.002,15.424,0.001,1.689,1.349,0.990,0.733,0.564,0.449,148168347,4045780169864983552,4045780169864983552,273.54610,0.053,-32.14253,0.045,0.008,0.055,-4.577,0.076,-7.797,0.057,16.371
78,187.066,173.713,3.529,27.700,1.149,2.781,2.402,5.183,matched,407944,273.534,-32.186,20.031,0.011,17.435,0.002,16.357,0.004,15.795,0.027,15.486,0.002,15.312,0.012,1.513,1.208,0.886,0.656,0.505,0.402,148135928,4045779203364149248,4045779203364149248,273.53370,0.048,-32.18640,0.043,0.127,0.051,-4.175,0.061,-8.272,0.046,16.248
79,9.399,-3.955,3.773,25.900,1.177,2.640,1.717,4.356,matched,400440,273.519,-32.116,19.930,0.005,17.561,0.001,16.512,0.001,15.988,0.003,15.712,0.006,15.478,0.000,1.500,1.197,0.878,0.650,0.500,0.398,148096462,4045780474674498304,4045780474674498304,273.51881,0.080,-32.11556,0.070,0.230,0.083,-3.496,0.098,-6.917,0.071,16.428
80,-12.782,-26.136,4.126,24.400,0.684,1.591,1.484,3.075,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,-49.852,-63.205,4.024,32.300,0.531,1.348,1.698,3.046,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,-50.697,-64.051,7.200,23.700,1.219,2.815,2.326,5.141,matched,418537,273.555,-32.286,19.729,0.000,17.322,0.028,16.336,0.006,15.879,0.002,15.640,0.023,15.425,0.006,0.917,0.732,0.537,0.398,0.306,0.244,148192745,4045775153313046272,4045775153313046272,273.55536,0.077,-32.28637,0.066,0.125,0.087,-4.580,0.098,-6.050,0.072,16.270
83,64.425,51.071,3.326,24.500,1.094,2.475,2.029,4.504,matched,311085,273.348,-32.117,19.972,0.003,17.822,0.006,16.798,0.012,16.289,0.034,16.044,0.013,15.813,0.003,1.535,1.226,0.899,0.666,0.512,0.408,147635300,4048782145776353024,4048782145776353024,273.34802,0.059,-32.11714,0.051,0.023,0.064,-4.396,0.076,-6.697,0.057,16.705
84,-45.995,-59.349,3.282,34.200,1.302,2.694,2.224,4.918,matched,408378,273.535,-32.289,19.325,0.002,16.649,0.001,15.576,0.002,15.107,0.037,14.779,0.000,14.579,0.007,0.997,0.796,0.584,0.432,0.333,0.265,148138226,4045773877604612992,4045773877604612992,273.53458,0.033,-32.28942,0.030,-0.017,0.040,-4.063,0.043,-6.252,0.031,15.499
85,-76.377,-89.731,5.512,41.800,0.862,1.356,1.557,2.913,matched,364940,273.448,-32.167,19.946,0.003,16.820,0.010,15.047,0.012,13.156,0.001,12.229,0.021,11.759,0.001,1.539,1.228,0.901,0.667,0.513,0.409,147908323,4045779860627209600,4045779860627209600,273.44798,0.038,-32.16702,0.034,0.115,0.039,-4.459,0.047,-8.096,0.035,14.001
86,-35.590,-48.943,3.225,23.400,1.284,2.879,2.160,5.038,matched,351494,273.423,-32.043,20.732,0.017,18.038,0.000,16.863,0.027,16.252,0.001,15.872,0.013,15.644,0.013,1.948,1.555,1.141,0.845,0.650,0.517,147839291,4048784203005973504,4048784203005973504,273.42251,0.059,-32.04283,0.052,0.220,0.060,-4.658,0.076,-8.105,0.058,16.723
